id;tracking_code;date;details;invoice_id
1;Mouse Rupiah;2020-12-13T21:19:16;RSS Buckinghamshire Officer;1
2;teal Licensed Wooden Pants;2020-12-14T00:30:53;Chair Awesome;2
3;Kiribati;2020-12-13T22:39:26;Regional;3
4;Bedfordshire;2020-12-13T14:37:54;Ergonomic Soft Shoes;4
5;Bulgarian Lev Cambridgeshire;2020-12-14T03:26:01;streamline Home SAS;5
6;quantify;2020-12-14T02:46:21;sky blue cultivate Bedfordshire;6
7;navigate Kiribati;2020-12-13T13:54:31;Small Wooden Ball Metal Bond Markets Units European Composite Unit (EURCO);7
8;Buckinghamshire Antarctica (the territory South of 60 deg S) Refined;2020-12-13T20:27:47;Hungary Configurable;8
9;interface;2020-12-14T02:49:34;Kentucky;9
10;blue internet solution Concrete;2020-12-13T09:49:43;Investment Account Indian Rupee;10
