id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2020-12-14T05:50:59;Soft Fresh payment;ISSUED;CASH_ON_DELIVERY;2020-12-14T01:50:05;43633;auxiliary Strategist Arizona;1
2;2020-12-13T23:27:23;Sleek Frozen Chips Senior Optional;CANCELLED;CASH_ON_DELIVERY;2020-12-13T14:28:30;58431;Legacy Unbranded Plastic Chips;2
3;2020-12-13T08:23:29;Regional;PAID;CASH_ON_DELIVERY;2020-12-13T22:43:14;22939;analyzing holistic;3
4;2020-12-14T00:57:44;Ridges Beauty dynamic;PAID;PAYPAL;2020-12-13T08:37:42;94979;hard drive Personal Loan Account;4
5;2020-12-13T21:09:47;Accountability;CANCELLED;PAYPAL;2020-12-13T22:03:35;39298;transmitting Tennessee Practical Steel Shirt;5
6;2020-12-14T03:59:19;Movies;CANCELLED;CASH_ON_DELIVERY;2020-12-13T17:09:27;76898;Accounts navigating Ergonomic;6
7;2020-12-13T20:23:17;Concrete;CANCELLED;CASH_ON_DELIVERY;2020-12-13T18:42:49;47621;connecting solution connecting;7
8;2020-12-13T07:58:11;Refined redundant;CANCELLED;CREDIT_CARD;2020-12-13T16:23:12;1454;seamless New York mesh;8
9;2020-12-13T20:42:06;International;CANCELLED;PAYPAL;2020-12-13T08:24:46;79647;Via;9
10;2020-12-13T10:59:27;compress Practical Steel Chips;ISSUED;CREDIT_CARD;2020-12-13T20:09:29;12804;Shirt Metal;10
